연도,광역,시군구,시설명,사업자등록번호,시설군
2020,강원,강릉시,(주)경포솔향온천,127-86-57613,목욕장
2020,강원,강릉시,24시황실사우나,226-33-03247,목욕장
2020,강원,강릉시,강릉고려병원,226-82-03662,의료기관
2020,강원,강릉시,강릉고속버스터미널,219-81-01636,여객자동차터미널
2020,강원,강릉시,강릉교육문화관,226-83-03107,도서관
2020,강원,강릉시,강릉동인병원,226-82-01835,의료기관
2020,강원,강릉시,강릉동인병원,226-82-01835,장례식장
2020,강원,강릉시,강릉동인병원 장례식장,226-90-93776,장례식장
2020,강원,강릉시,강릉빛나라어린이집,226-82-12841,어린이집
2020,강원,강릉시,강릉삼성어린이집,226-80-04288,어린이집
2020,강원,강릉시,강릉시 기관,226-83-00245,도서관
2020,강원,강릉시,강릉시 기관,226-83-00245,어린이집
2020,강원,강릉시,강릉시 기관,226-83-00245,박물관
2020,강원,강릉시,강릉시보건소,226-83-00264,의료기관
2020,강원,강릉시,강릉시외버스터미널,226-81-00066,여객자동차터미널
2020,강원,강릉시,강릉아나병원,226-82-12614,의료기관
2020,강원,강릉시,강릉아산병원,226-82-04297,의료기관
2020,강원,강릉시,강릉아산병원,226-82-04297,장례식장
2020,강원,강릉시,강릉어린이집,226-82-02246,어린이집
2020,강원,강릉시,강릉연세요양병원,226-90-52421,의료기관
2020,강원,강릉시,강릉요양병원,226-82-15324,의료기관
2020,강원,강릉시,강릉원주대학교치과병원,226-82-10052,의료기관
2020,강원,강릉시,강릉원주대학교해람어린이집,321-80-01344,어린이집
2020,강원,강릉시,강릉율곡병원,616-96-06573,의료기관
2020,강원,강릉시,강릉의료원,226-82-02057,의료기관
2020,강원,강릉시,강릉효도마을,226-82-10654,노인요양시설
2020,강원,강릉시,교보리얼코(주)강릉,102-81-12136,실내주차장
2020,강원,강릉시,궁전보석사우나,226-01-66862,목욕장
2020,강원,강릉시,꿈동산숲어린이집,226-80-15295,어린이집
2020,강원,강릉시,늘사랑어린이집,226-82-10839,어린이집
2020,강원,강릉시,대관령24시불한증막사우나,581-05-00256,목욕장
2020,강원,강릉시,대륙사우나,217-38-00237,목욕장
2020,강원,강릉시,독립예술극장 신영,226-82-61420,영화상영관
2020,강원,강릉시,동부시장,226-82-68777,대규모점포
2020,강원,강릉시,동아찜질방,226-03-90293,목욕장
2020,강원,강릉시,라카이샌드파인리조트,214-81-05054,실내주차장
2020,강원,강릉시,명지어린이집,226-82-03963,어린이집
2020,강원,강릉시,미디어촌6단지어린이집,456-83-00040,어린이집
2020,강원,강릉시,보람어린이집,226-80-02602,어린이집
2020,강원,강릉시,사회복지법인소훈어린이집,226-82-10353,어린이집
2020,강원,강릉시,상아어린이집,226-89-02696,어린이집
2020,강원,강릉시,서부시장,226-82-01908,대규모점포
2020,강원,강릉시,석현어린이집,226-80-03178,어린이집
2020,강원,강릉시,성덕어린이집,226-82-02299,어린이집
2020,강원,강릉시,성산어린이집,226-82-10746,어린이집
2020,강원,강릉시,세가온산후조리원,226-90-89122,산후조리원
2020,강원,강릉시,세인트존스호텔,116-81-37932,목욕장
2020,강원,강릉시,세인트존스호텔,116-81-37932,실내주차장
2020,강원,강릉시,송원찜질방,226-15-60768,목욕장
2020,강원,강릉시,스카이베이 실내주차장,604-88-00718,실내주차장
2020,강원,강릉시,아이앤맘산후조리원,226-12-11363,산후조리원
2020,강원,강릉시,에이스24시건강스파랜드,109-81-80557,목욕장
2020,강원,강릉시,엠지엠호텔사우나,269-02-00184,목욕장
2020,강원,강릉시,열린어린이집,226-82-10315,어린이집
2020,강원,강릉시,영광어린이집,226-82-10616,어린이집
2020,강원,강릉시,예뜨랑어린이집,226-80-05986,어린이집
2020,강원,강릉시,예쁜꼬마어린이집,226-80-06928,어린이집
2020,강원,강릉시,예원숲어린이집,226-80-06006,어린이집
2020,강원,강릉시,오대산성모요양원,226-80-13865,노인요양시설
2020,강원,강릉시,오션스파,226-11-44284,목욕장
2020,강원,강릉시,오아시스찜질방,226-04-97895,목욕장
2020,강원,강릉시,오죽헌박물관,226-83-10063,박물관
2020,강원,강릉시,옥천어린이집,226-83-10495,어린이집
2020,강원,강릉시,옹쓰리PC방,226-12-05648,PC영업시설
2020,강원,강릉시,우석어린이집,226-80-10795,어린이집
2020,강원,강릉시,이마트 강릉점,206-86-50913,대규모점포
2020,강원,강릉시,이마트 강릉점,206-86-50913,실내주차장
2020,강원,강릉시,인디고PC방,562-13-00401,PC영업시설
2020,강원,강릉시,㈜CGV강릉지점,104-81-45690,영화상영관
2020,강원,강릉시,중앙시장,226-82-01010,대규모점포
2020,강원,강릉시,중앙어린이집,226-80-02499,어린이집
2020,강원,강릉시,착한몬테소리어린이집,226-80-03334,어린이집
2020,강원,강릉시,청송어린이집,420-80-00303,어린이집
2020,강원,강릉시,초당어린이집,226-82-12410,어린이집
2020,강원,강릉시,킨더스쿨어린이집,226-80-10612,어린이집
2020,강원,강릉시,푸른솔어린이집,226-80-02688,어린이집
2020,강원,강릉시,한국철도공사 강릉역,314-82-10024,철도역사
2020,강원,강릉시,한빛마을,226-82-13535,노인요양시설
2020,강원,강릉시,한울어린이집,226-82-04356,어린이집
2020,강원,강릉시,한화생명보험㈜강릉사옥,116-81-13925,실내주차장
2020,강원,강릉시,햇빛사랑어린이집,226-80-11737,어린이집
2020,강원,강릉시,호텔탑스텐 실내주차장,568-85-00750,실내주차장
2020,강원,강릉시,홈플러스,220-81-60348,실내주차장
2020,강원,강릉시,홈플러스,220-81-60348,대규모점포
2020,강원,고성군,DMZ박물관,227-83-03736,박물관
2020,강원,고성군,간성어린이집,227-82-00862,어린이집
2020,강원,고성군,고성 까리따스마태오요양원,227-82-07021,노인요양시설
2020,강원,고성군,고성소망요양원,227-82-07642,노인요양시설
2020,강원,고성군,고성연화마을,227-82-10074,노인요양시설
2020,강원,고성군,금강산콘도 지하주차장,227-81-01923,실내주차장
2020,강원,고성군,아이파크콘도 지하주차장,114-81-58853,실내주차장
2020,강원,고성군,아젤리아,227-81-09871,목욕장
2020,강원,동해시,근로복지공단어린이집,222-82-04432,어린이집
2020,강원,동해시,금강산건강랜드,410-85-51718,목욕장
2020,강원,동해시,대동튼튼나라어린이집,222-82-03942,어린이집
2020,강원,동해시,동명어린이집,222-80-07003,어린이집
2020,강원,동해시,동성프라자/n㈜교하,222-85-03638,대규모점포
2020,강원,동해시,동해 해양경비안전본부어린이집,222-89-03975,어린이집
2020,강원,동해시,동해금강요양병원,222-90-18983,의료기관
2020,강원,동해시,동해동인병원,222-82-01584,의료기관
2020,강원,동해시,동해보건소,222-83-02218,의료기관
2020,강원,동해시,동해산재병원,222-82-01755,의료기관
2020,강원,동해시,동해시노인요양원,473-82-00091,노인요양시설
2020,강원,동해시,동해이레요양병원,222-82-06478,의료기관
2020,강원,동해시,동해한마음병원,222-90-52206,의료기관
2020,강원,동해시,동호어린이집,222-82-02550,어린이집
2020,강원,동해시,롯데쇼핑(주)롯데시네마동해,827-85-00251,영화상영관
2020,강원,동해시,부영어린이집,222-80-03496,어린이집
2020,강원,동해시,빛선교어린이집,222-80-05010,어린이집
2020,강원,동해시,삼화사 노인요양원,222-82-08267,노인요양시설
2020,강원,동해시,열린어린이집,222-82-04112,어린이집
2020,강원,동해시,우주어린이집,222-80-03521,어린이집
2020,강원,동해시,월드pc방,222-08-79592,PC영업시설
2020,강원,동해시,월드PC방,604-25-55386,학원
2020,강원,동해시,월드PC방,604-25-55386,PC영업시설
2020,강원,동해시,웰빙pc방동해점,222-06-25656,PC영업시설
2020,강원,동해시,의료법인 기호의료재단 동해요양병원,577-82-00068,노인요양시설
2020,강원,동해시,이레마을노인요양원,222-82-05033,노인요양시설
2020,강원,동해시,이마트 동해점,206-86-50913,대규모점포
2020,강원,동해시,이지PC방,222-09-63379,PC영업시설
2020,강원,동해시,인디고PC방,843-33-00671,PC영업시설
2020,강원,동해시,인터세븐 pc방,222-06-37017,PC영업시설
2020,강원,동해시,지혜어린이집,222-82-03812,어린이집
2020,강원,동해시,천곡어린이집,222-89-00890,어린이집
2020,강원,동해시,천곡중앙어린이집,222-82-03850,어린이집
2020,강원,동해시,컨벤션보양온천,502-81-42903,목욕장
2020,강원,동해시,한나어린이집,222-82-04179,어린이집
2020,강원,동해시,한솔어린이집,222-80-04103,어린이집
2020,강원,동해시,화정원,222-05-46940,목욕장
2020,강원,삼척시,가람영화관,222-82-02716,영화상영관
2020,강원,삼척시,강원도 삼척의료원,222-82-01906,의료기관
2020,강원,삼척시,강원도 삼척의료원,222-82-01906,산후조리원
