class_cd,gender,lunch,pretest,posttest
6OL,Female,pay,62,72
6OL,Female,pay,66,79
6OL,Male,pay,64,76
6OL,Female,pay,61,77
6OL,Male,pay,64,76
6OL,Female,pay,66,74
6OL,Male,pay,63,75
6OL,Female,pay,63,72
6OL,Male,pay,64,77
6OL,Female,pay,61,72
6OL,Male,pay,61,73
6OL,Male,pay,64,74
6OL,Male,pay,66,78
6OL,Female,pay,60,71
6OL,Female,pay,64,77
6OL,Male,pay,64,73
6OL,Male,pay,63,70
6OL,Male,pay,67,73
6OL,Female,pay,63,71
6OL,Male,pay,64,73
ZNS,Male,pay,60,68
ZNS,Male,pay,60,70
ZNS,Male,pay,57,66
ZNS,Male,pay,57,70
ZNS,Female,free,56,65
ZNS,Male,pay,58,67
ZNS,Female,pay,60,70
ZNS,Female,pay,60,67
ZNS,Male,pay,54,63
ZNS,Male,pay,60,75
ZNS,Male,pay,58,66
ZNS,Female,pay,66,71
ZNS,Male,pay,60,76
ZNS,Female,pay,59,69
ZNS,Female,pay,57,69
ZNS,Female,pay,60,68
ZNS,Female,pay,61,71
ZNS,Female,pay,61,66
ZNS,Female,pay,59,69
ZNS,Female,pay,62,72
ZNS,Male,pay,60,66
2B1,Female,pay,61,75
2B1,Male,free,58,78
2B1,Female,free,64,82
2B1,Male,free,58,77
2B1,Male,pay,65,87
2B1,Male,pay,65,80
2B1,Female,free,62,75
2B1,Male,free,58,73
2B1,Male,free,59,74
2B1,Male,free,59,74
2B1,Male,free,63,76
2B1,Female,pay,63,78
2B1,Male,pay,59,77
2B1,Male,free,61,77
2B1,Male,free,55,72
2B1,Male,pay,66,83
2B1,Female,pay,67,81
2B1,Female,pay,68,79
EPS,Female,pay,63,80
EPS,Female,free,63,83
EPS,Male,pay,66,82
EPS,Female,pay,67,84
EPS,Female,free,67,83
EPS,Male,pay,73,85
EPS,Male,pay,68,87
EPS,Female,free,70,91
EPS,Female,free,74,85
EPS,Female,pay,64,83
EPS,Male,free,62,78
EPS,Female,pay,76,84
EPS,Female,pay,73,86
EPS,Male,pay,65,87
EPS,Female,pay,66,79
EPS,Female,pay,66,84
EPS,Female,pay,66,82
EPS,Female,free,65,83
EPS,Female,free,63,78
EPS,Female,free,68,84
IQN,Female,pay,65,79
IQN,Female,pay,70,83
IQN,Female,free,65,81
IQN,Female,free,61,74
IQN,Male,free,63,77
IQN,Female,pay,62,82
IQN,Male,pay,69,81
IQN,Male,free,63,75
IQN,Male,free,62,81
IQN,Female,free,63,77
IQN,Male,free,59,74
IQN,Male,pay,63,80
IQN,Male,pay,66,76
IQN,Female,pay,59,77
IQN,Male,free,60,74
PGK,Female,free,68,76
PGK,Male,free,74,82
PGK,Female,free,63,73
PGK,Female,free,73,78
PGK,Male,pay,75,83
PGK,Female,pay,78,84
PGK,Female,free,69,78
PGK,Male,free,73,81
PGK,Male,free,74,80
PGK,Female,pay,73,80
PGK,Female,free,68,82
PGK,Female,pay,72,84
PGK,Female,pay,73,80
PGK,Male,pay,71,91
PGK,Male,pay,73,80
PGK,Female,pay,76,80
PGK,Female,pay,70,84
PGK,Female,pay,71,78
PGK,Male,pay,76,85
PGK,Female,pay,72,83
PGK,Male,pay,71,83
UHU,Female,free,49,68
UHU,Female,pay,55,70
UHU,Female,free,60,73
UHU,Female,free,59,73
UHU,Male,pay,59,70
UHU,Female,free,55,69
UHU,Male,pay,55,71
UHU,Female,pay,56,74
UHU,Female,free,53,69
UHU,Female,free,48,70
UHU,Female,pay,62,76
UHU,Male,pay,58,75
UHU,Female,free,52,69
UHU,Female,pay,59,67
UHU,Female,free,53,69
UHU,Female,pay,57,72
UWK,Male,pay,68,76
UWK,Male,pay,67,80
UWK,Female,free,67,76
UWK,Female,pay,66,82
UWK,Female,pay,58,72
UWK,Female,pay,61,70
UWK,Male,pay,63,75
UWK,Female,pay,68,77
UWK,Female,free,61,76
UWK,Female,pay,75,83
UWK,Female,free,68,75
UWK,Female,free,65,72
UWK,Female,free,65,77
UWK,Female,free,61,77
UWK,Female,free,62,69
UWK,Male,free,65,74
UWK,Female,free,70,79
UWK,Female,free,65,74
UWK,Female,free,60,73
A33,Male,pay,60,67
A33,Male,pay,62,70
A33,Male,pay,59,73
A33,Male,pay,62,72
A33,Male,pay,54,68
A33,Female,pay,58,66
A33,Male,pay,58,66
A33,Male,pay,60,69
A33,Male,pay,68,78
A33,Female,pay,55,69
A33,Female,pay,61,71
A33,Female,pay,61,71
A33,Male,pay,61,70
A33,Male,pay,64,81
A33,Female,pay,61,72
A33,Female,free,54,69
A33,Female,pay,56,65
A33,Female,pay,55,64
A33,Female,pay,65,71
EID,Male,pay,64,76
EID,Male,pay,72,79
EID,Female,pay,72,78
EID,Male,pay,67,72
EID,Male,pay,64,74
EID,Female,pay,69,79
EID,Male,pay,67,78
EID,Male,pay,70,76
EID,Male,pay,64,77
EID,Female,pay,64,75
EID,Male,pay,69,78
EID,Female,pay,70,82
EID,Male,pay,71,78
EID,Female,pay,67,80
EID,Female,pay,69,79
EID,Male,pay,69,80
EID,Male,pay,66,81
EID,Female,pay,64,78
EID,Female,pay,69,82
EID,Female,pay,67,82
EID,Female,pay,65,76
HUJ,Male,pay,64,88
HUJ,Male,pay,64,80
HUJ,Male,pay,73,81
HUJ,Female,pay,66,83
HUJ,Male,pay,56,78
HUJ,Male,pay,67,87
HUJ,Female,pay,62,82
HUJ,Female,pay,68,82
HUJ,Female,pay,69,84
HUJ,Female,pay,68,85
HUJ,Male,pay,63,82
HUJ,Female,pay,72,83
HUJ,Male,pay,70,82
HUJ,Male,pay,68,87
HUJ,Female,pay,64,85
HUJ,Male,pay,64,78
HUJ,Male,pay,61,77
PC6,Male,pay,70,78
PC6,Female,pay,65,79
PC6,Female,pay,63,72
PC6,Female,pay,68,80
PC6,Female,pay,66,75
PC6,Female,pay,64,75
PC6,Female,pay,68,77
PC6,Female,pay,67,79
PC6,Male,pay,66,75
PC6,Male,pay,68,80
PC6,Female,pay,72,86
PC6,Female,pay,69,76
PC6,Male,pay,68,78
PC6,Female,pay,62,75
PC6,Female,pay,71,80
PC6,Male,pay,72,79
PC6,Male,pay,64,74
1Q1,Female,pay,55,70
1Q1,Male,free,55,67
1Q1,Male,pay,58,70
1Q1,Female,pay,60,67
1Q1,Female,pay,58,69
1Q1,Female,pay,52,63
1Q1,Male,pay,53,67
1Q1,Male,pay,53,68
1Q1,Male,pay,54,68
1Q1,Male,pay,59,70
1Q1,Male,pay,55,65
1Q1,Male,pay,56,67
1Q1,Male,pay,58,67
1Q1,Female,pay,58,65
1Q1,Male,free,58,65
1Q1,Male,pay,60,74
1Q1,Female,pay,60,69
1Q1,Male,pay,56,61
1Q1,Female,pay,56,69
1Q1,Male,pay,56,74
1Q1,Female,pay,52,68
1Q1,Female,free,52,68
1Q1,Female,pay,56,63
