Ticket,PassengerId,Fare,Embarked
A/5 21171,1,7.25,Southampton
PC 17599,2,71.2833,Cherbourg
STON/O2. 3101282,3,7.925,Southampton
113803,4,53.1,Southampton
373450,5,8.05,Southampton
330877,6,8.4583,Queenstown
17463,7,51.8625,Southampton
349909,8,21.075,Southampton
347742,9,11.1333,Southampton
237736,10,30.0708,Cherbourg
PP 9549,11,16.7,Southampton
113783,12,26.55,Southampton
A/5. 2151,13,8.05,Southampton
347082,14,31.275,Southampton
350406,15,7.8542,Southampton
248706,16,16,Southampton
382652,17,29.125,Queenstown
244373,18,13,Southampton
345763,19,18,Southampton
2649,20,7.225,Cherbourg
239865,21,26,Southampton
248698,22,13,Southampton
330923,23,8.0292,Queenstown
113788,24,35.5,Southampton
349909,25,21.075,Southampton
347077,26,31.3875,Southampton
2631,27,7.225,Cherbourg
19950,28,263,Southampton
330959,29,7.8792,Queenstown
349216,30,7.8958,Southampton
PC 17601,31,27.7208,Cherbourg
PC 17569,32,146.5208,Cherbourg
335677,33,7.75,Queenstown
C.A. 24579,34,10.5,Southampton
PC 17604,35,82.1708,Cherbourg
113789,36,52,Southampton
2677,37,7.2292,Cherbourg
A./5. 2152,38,8.05,Southampton
345764,39,18,Southampton
2651,40,11.2417,Cherbourg
7546,41,9.475,Southampton
11668,42,21,Southampton
349253,43,7.8958,Cherbourg
SC/Paris 2123,44,41.5792,Cherbourg
330958,45,7.8792,Queenstown
S.C./A.4. 23567,46,8.05,Southampton
370371,47,15.5,Queenstown
14311,48,7.75,Queenstown
2662,49,21.6792,Cherbourg
349237,50,17.8,Southampton
3101295,51,39.6875,Southampton
A/4. 39886,52,7.8,Southampton
PC 17572,53,76.7292,Cherbourg
2926,54,26,Southampton
113509,55,61.9792,Cherbourg
19947,56,35.5,Southampton
C.A. 31026,57,10.5,Southampton
2697,58,7.2292,Cherbourg
C.A. 34651,59,27.75,Southampton
CA 2144,60,46.9,Southampton
2669,61,7.2292,Cherbourg
113572,62,80,
36973,63,83.475,Southampton
347088,64,27.9,Southampton
PC 17605,65,27.7208,Cherbourg
2661,66,15.2458,Cherbourg
C.A. 29395,67,10.5,Southampton
S.P. 3464,68,8.1583,Southampton
3101281,69,7.925,Southampton
315151,70,8.6625,Southampton
C.A. 33111,71,10.5,Southampton
CA 2144,72,46.9,Southampton
S.O.C. 14879,73,73.5,Southampton
2680,74,14.4542,Cherbourg
1601,75,56.4958,Southampton
348123,76,7.65,Southampton
349208,77,7.8958,Southampton
374746,78,8.05,Southampton
248738,79,29,Southampton
364516,80,12.475,Southampton
345767,81,9,Southampton
345779,82,9.5,Southampton
330932,83,7.7875,Queenstown
113059,84,47.1,Southampton
SO/C 14885,85,10.5,Southampton
3101278,86,15.85,Southampton
W./C. 6608,87,34.375,Southampton
SOTON/OQ 392086,88,8.05,Southampton
19950,89,263,Southampton
343275,90,8.05,Southampton
343276,91,8.05,Southampton
347466,92,7.8542,Southampton
W.E.P. 5734,93,61.175,Southampton
C.A. 2315,94,20.575,Southampton
364500,95,7.25,Southampton
374910,96,8.05,Southampton
PC 17754,97,34.6542,Cherbourg
PC 17759,98,63.3583,Cherbourg
231919,99,23,Southampton
244367,100,26,Southampton
349245,101,7.8958,Southampton
349215,102,7.8958,Southampton
35281,103,77.2875,Southampton
7540,104,8.6542,Southampton
3101276,105,7.925,Southampton
349207,106,7.8958,Southampton
343120,107,7.65,Southampton
312991,108,7.775,Southampton
349249,109,7.8958,Southampton
371110,110,24.15,Queenstown
110465,111,52,Southampton
2665,112,14.4542,Cherbourg
324669,113,8.05,Southampton
4136,114,9.825,Southampton
2627,115,14.4583,Cherbourg
STON/O 2. 3101294,116,7.925,Southampton
370369,117,7.75,Queenstown
11668,118,21,Southampton
PC 17558,119,247.5208,Cherbourg
347082,120,31.275,Southampton
S.O.C. 14879,121,73.5,Southampton
A4. 54510,122,8.05,Southampton
237736,123,30.0708,Cherbourg
27267,124,13,Southampton
35281,125,77.2875,Southampton
2651,126,11.2417,Cherbourg
370372,127,7.75,Queenstown
C 17369,128,7.1417,Southampton
2668,129,22.3583,Cherbourg
347061,130,6.975,Southampton
349241,131,7.8958,Cherbourg
SOTON/O.Q. 3101307,132,7.05,Southampton
A/5. 3337,133,14.5,Southampton
228414,134,26,Southampton
C.A. 29178,135,13,Southampton
SC/PARIS 2133,136,15.0458,Cherbourg
11752,137,26.2833,Southampton
113803,138,53.1,Southampton
7534,139,9.2167,Southampton
PC 17593,140,79.2,Cherbourg
2678,141,15.2458,Cherbourg
347081,142,7.75,Southampton
STON/O2. 3101279,143,15.85,Southampton
365222,144,6.75,Queenstown
231945,145,11.5,Southampton
C.A. 33112,146,36.75,Southampton
350043,147,7.7958,Southampton
W./C. 6608,148,34.375,Southampton
230080,149,26,Southampton
244310,150,13,Southampton
S.O.P. 1166,151,12.525,Southampton
113776,152,66.6,Southampton
A.5. 11206,153,8.05,Southampton
A/5. 851,154,14.5,Southampton
Fa 265302,155,7.3125,Southampton
PC 17597,156,61.3792,Cherbourg
35851,157,7.7333,Queenstown
SOTON/OQ 392090,158,8.05,Southampton
315037,159,8.6625,Southampton
CA. 2343,160,69.55,Southampton
371362,161,16.1,Southampton
C.A. 33595,162,15.75,Southampton
347068,163,7.775,Southampton
315093,164,8.6625,Southampton
3101295,165,39.6875,Southampton
363291,166,20.525,Southampton
113505,167,55,Southampton
347088,168,27.9,Southampton
PC 17318,169,25.925,Southampton
1601,170,56.4958,Southampton
111240,171,33.5,Southampton
382652,172,29.125,Queenstown
347742,173,11.1333,Southampton
STON/O 2. 3101280,174,7.925,Southampton
17764,175,30.6958,Cherbourg
350404,176,7.8542,Southampton
4133,177,25.4667,Southampton
PC 17595,178,28.7125,Cherbourg
250653,179,13,Southampton
LINE,180,0,Southampton
